Title,Address,City,Price,Bedroom,Bathroom,Floors,Parking,Face,Year,Views,Area,Road Width,Road Type,Posted,Amenities,Category,Type,Latitude,Longitude
"Flat For Rent In Jhamsikhel, Lalitpur","Jhamsihel (near British school), Jhamsikhel, Lalitpur",Lalitpur,35000,2,2,3,2,East,2074,301,6 Aana,10 Feet , Soil Stabilized,1 month ago,"['Parking', 'Water Supply', 'Garden', 'Solar Water', 'Balcony']",Apartment,Rent,27.71780376,85.29697922
"Brand New Apartment For Sale At Janta Awash Bhaisepati : Flat For Sale In Bhaisepati, Lalitpur","Janta Awash Bhaisepati, Bhaisepati, Lalitpur",Lalitpur,16500000,3,2,5,1,East,2058,975,1200 Sq. Feet,40 Feet , Blacktopped,1 month ago,"['Parking', 'Air Condition', 'Balcony', 'Microwave', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Water Supply', 'Water Tank', 'Kids Playground', 'Internet', 'Intercom', 'Electricity Backup']",Apartment,Sale,27.74930212,85.35210024
"House For Sale In Samakhusi Inside Ring Road In High End Colony : Flat For Sale In Samakhusi, Kathmandu","Samakhusi Inside Ring Road, Samakhusi, Kathmandu",Kathmandu,24500000,3,3,2,1,East,2074,206,3 Aana,16 Feet , Gravelled,1 month ago,"['Parking', 'Balcony', 'Drainage', 'Electricity Backup', 'Water Supply', 'Modular Kitchen', 'Fencing', 'Intercom', 'Internet', 'Frontyard', 'Garage', 'Air Condition', 'Garden', 'Water Tank', 'Kids Playground', 'Backyard', 'Wifi', 'CCTV']",Apartment,Sale,27.70576626,85.3222904
"Flats And Room On Rent : Flat For Rent In Baghbazaar, Kathmandu","Siddhartha marga, Baghbazaar, Kathmandu",Kathmandu,30000,6,2,3,2,East,2014,192,4 Aana,14 Feet , Blacktopped,2 months ago,"['Parking', 'Balcony', 'Drainage', 'Electricity Backup', 'Water Supply', 'Modular Kitchen', 'Fencing', 'Intercom', 'Internet', 'Frontyard', 'Garage', 'Air Condition', 'Garden', 'Water Tank', 'Kids Playground', 'Backyard', 'Wifi', 'CCTV']",Apartment,Rent,27.74501758,85.3237814
"Naxal Apartment : Apartment For Sale In Hattisar, Kathmandu","Hattisar, Kathmandu",Kathmandu,50000000,3,3,3,2,South,2070,1.6K,36 Aana,20 Feet , Blacktopped,2 months ago,['Parking'],Apartment,Sale,27.75459058,85.31114135
"Flat For Rent In Koteshwor, Kathmandu","Koteshwor, Kathmandu",Kathmandu,60000,4,3,3,1,East,2015,276,900 Sq. Feet,30 Meter , Blacktopped,2 months ago,"['Parking', 'TV Cable']",Apartment,Rent,27.69993492,85.30153531
"3 Flats On Rent : Flat For Rent In Imadol, Lalitpur","Imadol, Lalitpur",Lalitpur,30000,3,2,4,1,North East,2018,687,8 Aana,10 Feet , Blacktopped,2 months ago,"['Fencing', 'Balcony', 'Modular Kitchen', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well', 'Parking']",Apartment,Rent,27.75063404,85.33876809
"Flat For Rent In Jhamsikhel, Lalitpur","Jhamsikhel(near British school), Jhamsikhel, Lalitpur",Lalitpur,35000,2,2,0,2,East,2074,890,6 Sq. Feet,10 Feet , Soil Stabilized,2 months ago,"['Parking', 'Water Supply', 'Solar Water']",Apartment,Rent,27.69510275,85.30370126
"Flat For Rent In Jhamsikhel, Lalitpur","Jhamsikhel(near British school), Jhamsikhel, Lalitpur",Lalitpur,35000,2,2,0,2,East,2074,158,6 Sq. Feet,10 Feet , Soil Stabilized,2 months ago,"['Water Supply', 'Solar Water', 'Parking']",Apartment,Rent,27.73288718,85.34353932
"Flat For Rent At Dhunge Dhara Banasthali : Flat For Rent In Dhungedhara, Kathmandu","Dhunge Dhara, Banasthali, Dhungedhara, Kathmandu",Kathmandu,17000,2,1,4,0,South,2007,266,21 Aana,14 Feet , Gravelled,2 months ago,"['Backyard', 'Balcony', 'Internet', 'Electricity Backup', 'Water Supply', 'Water Tank', 'Garden', 'Parking', 'Wifi', 'Water Well']",Apartment,Rent,27.69001709,85.31408462
